radius,nBits,useFeatures,useChirality,acc,auc,collision_rate,avg_frags_per_active_bit,objective
2,1024,1,1,0.5833333333333334,0.5833333333333333,0.27095808383233533,1.3716632443531827,0.5291417165668661
2,2048,1,1,0.5833333333333334,0.6111111111111112,0.15419161676646706,1.1823008849557521,0.5802727877578178
2,4096,1,1,0.5833333333333334,0.6666666666666666,0.0718562874251497,1.0774193548387097,0.6522954091816366
2,8192,1,1,0.5833333333333334,0.6666666666666666,0.0344311377245509,1.035658914728682,0.6597804391217564
2,16384,1,1,0.5833333333333334,0.6666666666666666,0.020958083832335328,1.0214067278287462,0.6624750499001996
2,32768,1,1,0.5833333333333334,0.6666666666666666,0.008982035928143712,1.0090634441087614,0.6648702594810378
3,256,0,0,0.8333333333333334,0.8333333333333334,0.8748773307163886,7.992156862745098,0.6583578671900556
3,512,0,0,0.75,0.8333333333333334,0.7566241413150148,4.108870967741935,0.6820085050703304
3,1024,0,0,0.75,0.7777777777777778,0.5750736015701668,2.3533487297921476,0.6627630574637444
3,2048,0,0,0.75,0.7222222222222223,0.37242394504416093,1.5934323690383112,0.6477374332133902
3,4096,0,0,0.75,0.7222222222222223,0.2100098135426889,1.26583850931677,0.6802202595136846
3,8192,0,0,0.75,0.7777777777777779,0.10549558390578999,1.117937465715853,0.7566786609966198
3,16384,0,0,0.75,0.7777777777777779,0.05593719332679097,1.0592515592515592,0.7665903391124197
3,32768,0,0,0.75,0.7777777777777779,0.02649656526005888,1.0272177419354838,0.7724784647257661
3,256,0,1,0.75,0.8055555555555556,0.8745098039215686,7.96875,0.6306535947712418
3,512,0,1,0.75,0.8055555555555557,0.7544117647058823,4.07185628742515,0.6546732026143792
3,1024,0,1,0.75,0.7222222222222222,0.5666666666666667,2.3076923076923075,0.6088888888888888
3,2048,0,1,0.75,0.7222222222222222,0.36911764705882355,1.5850815850815851,0.6483986928104575
3,4096,0,1,0.75,0.7222222222222223,0.2019607843137255,1.253071253071253,0.6818300653594772
3,8192,0,1,0.75,0.7500000000000001,0.10147058823529412,1.1129296235679214,0.7297058823529413
3,16384,0,1,0.75,0.7500000000000001,0.054411764705882354,1.0575427682737168,0.7391176470588237
3,32768,0,1,0.75,0.7777777777777779,0.028431372549019607,1.029263370332997,0.7720915032679739
3,256,1,0,0.75,0.6944444444444444,0.8247775496235455,5.70703125,0.5294889345197353
3,512,1,0,0.6666666666666666,0.6666666666666666,0.6721423682409309,3.0501043841336117,0.5322381930184804
3,1024,1,0,0.6666666666666666,0.5833333333333333,0.47433264887063653,1.90234375,0.48846680355920596
3,2048,1,0,0.6666666666666666,0.6111111111111112,0.28952772073921973,1.407514450867052,0.5532055669632672
3,4096,1,0,0.6666666666666666,0.6111111111111112,0.16563997262149213,1.1985233798195243,0.5779831165868128
3,8192,1,0,0.6666666666666666,0.6111111111111112,0.0917180013689254,1.1009796533534288,0.592767510837326
3,16384,1,0,0.6666666666666666,0.6666666666666667,0.0485968514715948,1.0510791366906476,0.6569472963723478
3,32768,1,0,0.6666666666666666,0.6666666666666667,0.021218343600273786,1.0216783216783216,0.662422997946612
3,256,1,1,0.6666666666666666,0.6944444444444444,0.8258196721311475,5.741176470588235,0.529280510018215
3,512,1,1,0.6666666666666666,0.6666666666666666,0.6728142076502732,3.056367432150313,0.5321038251366119
3,1024,1,1,0.6666666666666666,0.5555555555555556,0.4719945355191257,1.8939197930142302,0.46115664845173043
3,2048,1,1,0.6666666666666666,0.6111111111111112,0.28210382513661203,1.3929590865842054,0.5546903460837888
3,4096,1,1,0.6666666666666666,0.6111111111111112,0.16188524590163936,1.1931540342298288,0.5787340619307833
3,8192,1,1,0.6666666666666666,0.6111111111111112,0.08811475409836066,1.0966292134831461,0.593488160291439
3,16384,1,1,0.6666666666666666,0.638888888888889,0.04644808743169399,1.0487106017191976,0.6295992714025501
3,32768,1,1,0.6666666666666666,0.638888888888889,0.02117486338797814,1.021632937892533,0.6346539162112933
4,256,0,0,0.8333333333333334,0.888888888888889,0.9078473722102232,10.8515625,0.7073194144468443
4,512,0,0,0.75,0.8611111111111112,0.8174946004319654,5.479289940828402,0.697612191024718
4,1024,0,0,0.75,0.7777777777777779,0.6565874730021598,2.911949685534591,0.6464602831773459
4,2048,0,0,0.75,0.7222222222222223,0.45500359971202303,1.834874504623514,0.6312215022798178
